iter	MAPE	Quantile:alpha=0.7
0	9.113676413	50.06542375
1	8.887630035	48.83742561
2	8.668276008	47.71930072
3	8.460413762	46.67967348
4	8.260407915	45.68228727
5	8.052794336	44.69506282
6	7.86006398	43.68143202
7	7.661324886	42.75426526
8	7.476351002	41.86615165
9	7.288868624	41.04458198
10	7.116476809	40.14920634
11	6.949602565	39.35375735
12	6.789941224	38.56803123
13	6.625539471	37.69327113
14	6.472832575	36.90048388
15	6.318300644	36.13761721
16	6.171861706	35.36225716
17	6.027877128	34.65902764
18	5.897187189	34.0217546
19	5.754141632	33.39091275
20	5.626785703	32.84998831
21	5.494960807	32.17526252
22	5.368218459	31.60919287
23	5.245151353	31.09188666
24	5.126522932	30.49941169
25	5.006503105	30.00660228
26	4.898631611	29.50839668
27	4.788050726	29.04208392
28	4.683428708	28.59682085
29	4.5844604	28.13106288
30	4.486883743	27.7470783
31	4.393163134	27.3496713
32	4.301460624	26.95763115
33	4.204644512	26.48643119
34	4.105907818	26.01363196
35	4.026354478	25.63770568
36	3.932784365	25.30214526
37	3.850243095	24.94238581
38	3.769586745	24.61397372
39	3.683248156	24.19696076
40	3.607851667	23.83169179
41	3.528374839	23.47141443
42	3.460168656	23.13110864
43	3.388920374	22.81734156
44	3.321227901	22.57029366
45	3.247260146	22.32155489
46	3.175354734	22.06566768
47	3.114608751	21.79543127
48	3.048533295	21.51253783
49	2.982301266	21.29054402
50	2.917571601	21.03969064
51	2.853897891	20.76908946
52	2.79214308	20.47717279
53	2.737195675	20.21805678
54	2.684263787	20.01190347
55	2.629926086	19.8456986
56	2.579209597	19.6288175
57	2.526609333	19.47464026
58	2.479288025	19.27853796
59	2.427647219	19.05756133
60	2.384686656	18.89402664
61	2.339047577	18.68947041
62	2.292865816	18.49138212
63	2.249124135	18.35123445
64	2.204058409	18.17264736
65	2.160762748	17.97520338
66	2.119086855	17.77835212
67	2.080113617	17.61873661
68	2.040324706	17.44515669
69	2.004165591	17.27535748
70	1.967752199	17.13828958
71	1.932169388	17.02873399
72	1.896864194	16.91176049
73	1.863511507	16.80903154
74	1.832904216	16.64595309
75	1.799873585	16.52357531
76	1.769883795	16.43819643
77	1.740456112	16.31813527
78	1.710154486	16.21478637
79	1.680834958	16.11493286
80	1.651826541	15.99711781
81	1.62518662	15.88111852
82	1.597968295	15.77801686
83	1.572348138	15.69713131
84	1.547961267	15.62004079
85	1.523816667	15.53881234
86	1.500829427	15.43196093
87	1.478028938	15.35332722
88	1.455816361	15.25450322
89	1.434339612	15.17645927
90	1.413849397	15.11252758
91	1.39443531	15.02775212
92	1.373279113	14.9234633
93	1.353291907	14.85609786
94	1.335515827	14.77260848
95	1.316443805	14.68986932
96	1.298720869	14.63877099
97	1.280659447	14.59034473
98	1.264326846	14.52242055
99	1.248870253	14.45274112
100	1.232273255	14.38986659
101	1.215919752	14.3327348
102	1.199987436	14.27024831
103	1.185602807	14.21022228
104	1.170863484	14.16057421
105	1.156309245	14.09235594
106	1.141192925	14.0473552
107	1.128063709	14.00057282
108	1.11359658	13.9466644
109	1.100644219	13.90764853
110	1.088880732	13.86323387
111	1.077274432	13.82621876
112	1.06556106	13.76861199
113	1.055023192	13.72430481
114	1.043464952	13.66621941
115	1.032350357	13.63675814
116	1.021578582	13.59587661
117	1.010814752	13.55075349
118	1.002663153	13.5159195
119	0.992452017	13.4813491
120	0.9837475683	13.45584545
121	0.9733025267	13.42519299
122	0.9634091792	13.39047897
123	0.954689956	13.34917426
124	0.9465475093	13.31465271
125	0.9381838503	13.29329317
126	0.930483388	13.2677396
127	0.9234432042	13.25531842
128	0.9144968556	13.21881463
129	0.9073839225	13.17407197
130	0.899954964	13.15077245
131	0.8922997975	13.13023244
132	0.8861752446	13.08222864
133	0.8793659215	13.06269237
134	0.8726374622	13.04279018
135	0.8662927587	13.01510718
136	0.8606332743	12.97708986
137	0.8538193906	12.95092071
138	0.8478521805	12.92871558
139	0.8422598105	12.9070403
140	0.8369413857	12.89009938
141	0.8313308616	12.85231647
142	0.8265081194	12.84166493
143	0.8207021413	12.80979188
144	0.8164070838	12.79244493
145	0.8120531538	12.78083111
146	0.8069280182	12.75938512
147	0.802457451	12.73435903
148	0.7980005046	12.70756305
149	0.792620557	12.68516597
150	0.7885407423	12.66649333
151	0.7835772746	12.65286211
152	0.7789092726	12.62339677
153	0.7729516866	12.6069471
154	0.768241842	12.58438976
155	0.7641597406	12.56668566
156	0.7589823868	12.54612157
157	0.755226367	12.53448466
158	0.7515303843	12.51719556
159	0.7491090178	12.49194121
160	0.7449367994	12.4686891
161	0.741892474	12.45260051
162	0.7389529208	12.44526599
163	0.7360405015	12.43287292
164	0.7330458184	12.42368474
165	0.7308938346	12.40685739
166	0.7281701536	12.38191074
167	0.7251286705	12.36974395
168	0.7225873992	12.34633505
169	0.7198575094	12.3305929
170	0.7164764261	12.30956276
171	0.7139247636	12.28550075
172	0.7118181142	12.26464869
173	0.7097737226	12.2479195
174	0.7077068107	12.22136102
175	0.7053332929	12.20910217
176	0.7033020993	12.18837866
177	0.7007374644	12.17934837
178	0.6977076479	12.14662824
179	0.6955717881	12.13390188
180	0.6933065573	12.11368958
181	0.6916353309	12.10120765
182	0.6892513938	12.09331071
183	0.6855459022	12.07160023
184	0.6833657773	12.03769376
185	0.6812086132	12.02173981
186	0.6800029134	12.00330464
187	0.679015358	11.98423463
188	0.6774028393	11.96336027
189	0.676450487	11.943586
190	0.675144971	11.93349635
191	0.673264181	11.92207817
192	0.6720470896	11.91358166
193	0.6707683184	11.90248848
194	0.6691610524	11.88744181
195	0.6677740223	11.87476181
196	0.6658467581	11.86079143
197	0.6647399274	11.8480785
198	0.663587657	11.83590397
199	0.6619155942	11.8249513
200	0.6605570736	11.80298307
201	0.6578560193	11.78634641
202	0.6548932327	11.77537778
203	0.6520910371	11.75717044
204	0.6513799801	11.74294151
205	0.6490742694	11.73079776
206	0.6457237953	11.71488447
207	0.6447522306	11.70194437
208	0.6415393007	11.68981448
209	0.6407137519	11.68043733
210	0.639597675	11.67292782
211	0.6385827515	11.65315896
212	0.6372452995	11.64399767
213	0.6365092744	11.63665363
214	0.6357115689	11.62470514
215	0.6349117924	11.60269417
216	0.6338506187	11.57451416
217	0.6326544302	11.56241182
218	0.6318454702	11.55795713
219	0.6303584845	11.54646775
220	0.6284808008	11.53533179
221	0.6273498482	11.52869686
222	0.6264016665	11.5170185
223	0.6250453936	11.51108451
224	0.62289799	11.50213781
225	0.6221680246	11.49725181
226	0.6196020228	11.48427747
227	0.618250071	11.47524679
228	0.6160170753	11.46573366
229	0.6143828561	11.45754796
230	0.6126012149	11.4463865
231	0.6120546842	11.43772848
232	0.6109750648	11.42886453
233	0.6103416472	11.42093922
234	0.6098454288	11.41309896
235	0.6095461631	11.40246184
236	0.6087698588	11.39168388
237	0.6082491847	11.38327058
238	0.6074641985	11.35990693
239	0.6066857789	11.344559
240	0.6059279074	11.33737173
241	0.6031122973	11.3302454
242	0.60229973	11.31866683
243	0.60165594	11.30185269
244	0.6012715035	11.29209814
245	0.6007353594	11.28170726
246	0.5996167845	11.27111966
247	0.598409725	11.25726186
248	0.5973076118	11.24822665
249	0.5965544578	11.23753078
250	0.5941062886	11.23002561
251	0.5927393051	11.21955445
252	0.5920762473	11.2085247
253	0.5918244644	11.2000068
254	0.5899516372	11.18959994
255	0.5892188014	11.18163613
256	0.5882508237	11.17497578
257	0.587734568	11.16504637
258	0.5871003768	11.15433952
259	0.5864336089	11.14326926
260	0.5852275406	11.12112184
261	0.5847294585	11.11250077
262	0.5841562764	11.09531021
263	0.5835854246	11.08211457
264	0.5819375307	11.07526673
265	0.5814605885	11.06950789
266	0.5790649221	11.05586157
267	0.5773289414	11.04793223
268	0.5756268919	11.03985109
269	0.5751017893	11.03247319
270	0.5747261405	11.0236415
271	0.5743942306	11.01040632
272	0.5740350645	10.99719602
273	0.5734215224	10.98597231
274	0.5726668341	10.96844264
275	0.5721272965	10.95966115
276	0.5712345903	10.93650617
277	0.5703023724	10.92876198
278	0.569069605	10.92411609
279	0.5684804356	10.91114168
280	0.5674605592	10.90409684
281	0.5666419899	10.89951056
282	0.5659942224	10.88323261
283	0.5654155403	10.87731379
284	0.5647660673	10.8671366
285	0.564032663	10.85044661
