iter	Passed	Remaining
0	323	258374
1	388	155154
2	447	118972
3	532	105924
4	593	94430
5	683	90507
6	766	86786
7	842	83377
8	947	83263
9	1018	80422
10	1107	79427
11	1216	79915
12	1279	77489
13	1374	77168
14	1442	75502
15	1516	74298
16	1589	73195
17	1647	71587
18	1708	70224
19	1782	69513
20	1852	68722
21	1965	69509
22	2039	68906
23	2109	68203
24	2166	67154
25	2284	67997
26	2366	67748
27	2446	67460
28	2554	67917
29	2627	67451
30	2683	66570
31	2734	65624
32	3069	71334
33	3424	77145
34	3493	76347
35	3549	75324
36	3677	75838
37	3739	74982
38	3805	74251
39	3932	74726
40	4025	74526
41	4104	74079
42	4178	73564
43	4228	72649
44	4278	71777
45	4360	71482
46	4434	71038
47	4504	70577
48	4562	69924
49	4614	69217
50	4663	68486
51	4720	67899
52	4772	67267
53	4843	66906
54	4970	67327
55	5081	67511
56	5146	67086
57	5210	66656
58	5265	66125
59	5310	65496
60	5362	64960
61	5414	64455
62	5473	64029
63	5521	63497
64	5565	62930
65	5609	62389
66	5659	61921
67	5713	61501
68	5755	60976
69	5809	60588
70	5880	60381
71	5936	60025
72	5980	59557
73	6020	59066
74	6063	58618
75	6107	58181
76	6157	57815
77	6205	57442
78	6252	57060
79	6315	56843
80	6361	56472
81	6403	56070
82	6444	55673
83	6486	55292
84	6528	54914
85	6566	54513
86	6610	54175
87	6652	53827
88	6694	53482
89	6741	53181
90	6789	52901
91	6837	52621
92	6881	52312
93	6921	51987
94	6963	51676
95	7006	51383
96	7067	51220
97	7128	51063
98	7191	50923
99	7257	50800
100	7318	50651
101	7379	50498
102	7444	50377
103	7509	50255
104	7648	50626
105	7781	50948
106	7924	51321
107	8002	51272
108	8106	51390
109	8159	51183
110	8206	50938
111	8254	50705
112	8301	50469
113	8351	50256
114	8409	50093
115	8460	49884
116	8506	49658
117	8563	49496
118	8623	49351
119	8673	49147
120	8731	48995
121	8817	49000
122	8898	48978
123	8966	48880
124	9025	48737
125	9077	48557
126	9157	48528
127	9226	48440
128	9288	48312
129	9352	48201
130	9417	48091
131	9490	48027
132	9549	47892
133	9618	47804
134	9686	47715
135	9781	47758
136	9874	47785
137	9951	47739
138	10019	47648
139	10075	47500
140	10144	47412
141	10196	47249
142	10249	47092
143	10304	46942
144	10356	46784
145	10428	46715
146	10488	46590
147	10536	46417
148	10586	46251
149	10643	46123
150	10689	45945
151	10741	45792
152	10800	45671
153	10850	45515
154	10989	45731
155	11346	46840
156	11575	47406
157	11766	47812
158	11857	47801
159	11906	47627
160	11956	47454
161	12007	47290
162	12058	47125
163	12121	47006
164	12178	46869
165	12233	46723
166	12299	46618
167	12356	46483
168	12415	46354
169	12466	46197
170	12531	46096
171	12587	45960
172	12633	45786
173	12676	45607
174	12718	45422
175	12763	45251
176	12803	45066
177	12843	44881
178	12884	44700
179	12925	44521
180	12969	44353
181	13011	44181
182	13056	44020
183	13096	43845
184	13136	43669
185	13178	43504
186	13220	43337
187	13262	43173
188	13305	43015
189	13345	42847
190	13384	42677
191	13428	42523
192	13468	42359
193	13509	42199
194	13548	42036
195	13589	41878
196	13630	41720
197	13672	41569
198	13713	41415
199	13753	41260
200	13795	41111
201	13840	40974
202	13881	40823
203	13924	40681
204	13964	40532
205	14008	40394
206	14050	40251
207	14091	40107
208	14134	39969
209	14173	39821
210	14214	39680
211	14258	39547
212	14306	39427
213	14346	39285
214	14393	39164
215	14433	39023
216	14475	38890
217	14526	38780
218	14567	38647
219	14613	38526
220	14655	38396
221	14699	38270
222	14740	38140
223	14785	38020
224	14830	37900
225	14870	37767
226	14915	37648
227	14961	37536
228	15005	37415
229	15046	37289
230	15087	37162
231	15128	37038
232	15166	36907
233	15208	36785
234	15249	36663
235	15292	36546
236	15330	36419
237	15371	36297
238	15413	36180
239	15457	36066
240	15498	35948
241	15539	35831
242	15579	35710
243	15618	35590
244	15661	35477
245	15702	35363
246	15743	35248
247	15784	35134
248	15829	35029
249	15878	34931
250	15920	34822
251	15962	34711
252	16002	34597
253	16048	34498
254	16148	34514
255	16248	34528
256	16344	34533
257	16441	34539
258	16520	34507
259	16603	34483
260	16670	34426
261	16776	34450
262	16842	34390
263	16906	34326
264	16982	34284
265	17085	34300
266	17200	34336
267	17325	34391
268	17404	34356
269	17457	34269
270	17533	34225
271	17600	34164
272	17683	34136
273	17746	34067
274	17809	33999
275	17872	33931
276	17941	33875
277	18015	33828
278	18088	33777
279	18141	33691
280	18265	33735
281	18345	33698
282	18420	33652
283	18502	33616
284	18579	33573
285	18674	33561
286	18767	33545
287	18852	33514
288	18923	33460
289	18994	33403
290	19070	33357
291	19273	33530
292	19416	33598
293	19536	33623
294	19686	33700
295	19753	33634
296	19808	33547
297	19866	33465
298	19935	33403
299	20072	33453
300	20124	33363
301	20196	33303
302	20261	33233
303	20335	33179
304	20406	33117
305	20456	33024
306	20505	32928
307	20578	32871
308	20631	32783
309	20697	32716
310	20746	32621
311	20814	32555
312	20872	32475
313	20932	32399
314	20988	32315
315	21039	32224
316	21084	32124
317	21150	32057
318	21215	31988
319	21265	31898
320	21316	31808
321	21371	31725
322	21433	31652
323	21496	31581
324	21564	31516
325	21684	31529
326	21822	31566
327	21949	31586
328	22044	31559
329	22125	31512
330	22197	31451
331	22299	31433
332	22379	31385
333	22494	31384
334	22561	31316
335	22617	31233
336	22681	31162
337	22759	31108
338	22824	31039
339	22881	30957
340	22932	30868
341	22987	30784
342	23042	30701
343	23100	30621
344	23156	30539
345	23235	30487
346	23307	30427
347	23366	30349
