iter	MAPE	Quantile:alpha=0.7
0	7.18329394	62.2195388
1	7.119093403	61.64201833
2	7.054099398	61.10206639
3	6.987636431	60.5876107
4	6.926252682	60.04228399
5	6.876837055	59.56248913
6	6.819616623	59.06482306
7	6.755998081	58.56715908
8	6.694217209	58.06072037
9	6.636538481	57.54949558
10	6.581030733	57.04609076
11	6.522872206	56.55791033
12	6.465404988	56.09533571
13	6.407067311	55.6199996
14	6.351126795	55.14199799
15	6.297157164	54.67525426
16	6.24401705	54.21766639
17	6.188865776	53.74255949
18	6.133302406	53.28500255
19	6.07681947	52.83085962
20	6.021709873	52.39167886
21	5.974033139	51.95766774
22	5.928177795	51.51898179
23	5.879794363	51.07865598
24	5.828339287	50.6451153
25	5.77713634	50.26308085
26	5.724959709	49.85634984
27	5.676477409	49.42912694
28	5.62410073	49.04593934
29	5.573794927	48.70008034
30	5.52859201	48.28760995
31	5.48002554	47.88716053
32	5.43156142	47.50223929
33	5.384362136	47.1184422
34	5.340811686	46.73129023
35	5.297033414	46.34448545
36	5.251536695	45.97952708
37	5.205204788	45.62602168
38	5.15958412	45.27655675
39	5.11210474	44.91288598
40	5.071188123	44.55012719
41	5.029874373	44.2208203
42	4.985710057	43.88038221
43	4.940520804	43.5122104
44	4.900720605	43.19081867
45	4.857573751	42.83198047
46	4.815055904	42.52389088
47	4.772231922	42.23324315
48	4.728186846	41.91476136
49	4.689823461	41.58668772
50	4.650472673	41.29168658
51	4.608292585	40.98835016
52	4.566998597	40.65463708
53	4.532364339	40.3609411
54	4.492156099	40.06174729
55	4.454535875	39.76283985
56	4.418781556	39.45206801
57	4.380217139	39.15975748
58	4.342475754	38.86137971
59	4.305180074	38.57470056
60	4.267037258	38.29517935
61	4.230040515	38.00733771
62	4.192897999	37.72704236
63	4.155562284	37.42614509
64	4.120995103	37.1512659
65	4.090506234	36.88784843
66	4.053690046	36.62527872
67	4.01738432	36.34065537
68	3.981916338	36.07040865
69	3.946864499	35.81971658
70	3.912371646	35.60615406
71	3.877185384	35.32426817
72	3.8428671	35.0839654
73	3.810444114	34.8419364
74	3.776058849	34.6077754
75	3.742313798	34.36635436
76	3.709122188	34.1301804
77	3.675536552	33.88677254
78	3.643382623	33.64150292
79	3.612039947	33.42351011
80	3.582849432	33.19885947
81	3.551504007	32.98334521
82	3.521434964	32.72862042
83	3.496255634	32.5239702
84	3.465410253	32.31274864
85	3.433964628	32.09343381
86	3.40261985	31.88147462
87	3.371861579	31.66899743
88	3.343012765	31.44660759
89	3.314227516	31.22845053
90	3.284905695	31.00017878
91	3.255434817	30.81338874
92	3.22807652	30.61701428
93	3.199934291	30.42103775
94	3.173288834	30.22358098
95	3.144865948	30.02757716
96	3.118526549	29.83236649
97	3.090590763	29.64909627
98	3.063642794	29.46636956
99	3.037305651	29.26338128
100	3.011113798	29.0670436
101	2.98490171	28.88743565
102	2.960585631	28.7086236
103	2.934118305	28.51191147
104	2.908896232	28.32770003
105	2.883446283	28.14980654
106	2.858310347	27.97561832
107	2.833194978	27.80106862
108	2.808397715	27.66363836
109	2.784892708	27.49512917
110	2.760639355	27.32011818
111	2.73675184	27.14885203
112	2.714126556	26.99511481
113	2.692267821	26.83343242
114	2.668975729	26.66999681
115	2.645542981	26.49016954
116	2.622229823	26.30957263
117	2.599629659	26.15676595
118	2.577024745	26.01006813
119	2.554954196	25.85237518
120	2.532913527	25.70944929
121	2.510735512	25.54770481
122	2.489123847	25.40673997
123	2.467219489	25.26830587
124	2.446967122	25.10883257
125	2.426314778	24.97699382
126	2.404967479	24.8440482
127	2.385278389	24.70086066
128	2.364767836	24.56626814
129	2.344469198	24.41524162
130	2.324422708	24.28980107
131	2.305611087	24.14016286
132	2.285849794	24.00986726
133	2.266994156	23.90220707
134	2.247826988	23.77132216
135	2.228830948	23.66589074
136	2.210263399	23.55080496
137	2.191540469	23.44804884
138	2.172971006	23.33340454
139	2.155388513	23.22566148
140	2.137324492	23.10500768
141	2.11906906	22.97127988
142	2.10110512	22.8516276
143	2.082521995	22.72286517
144	2.064336945	22.58169466
145	2.047089756	22.45461735
146	2.029648088	22.35285307
147	2.012494481	22.25463186
148	1.996115343	22.15098874
149	1.97924215	22.03827541
150	1.962441844	21.93893673
151	1.94623222	21.84374693
152	1.930922229	21.72890163
153	1.915433071	21.63821391
154	1.899395573	21.52727353
155	1.883635942	21.41949398
156	1.86800729	21.34565045
157	1.852892149	21.24756384
158	1.838686739	21.14293116
159	1.823897327	21.03435013
160	1.808423475	20.91643067
161	1.793340041	20.81075412
162	1.77899566	20.7130331
163	1.764174653	20.61654276
164	1.749331139	20.52301437
165	1.734981865	20.42920757
166	1.720530668	20.31072833
167	1.705969195	20.22134216
168	1.692281395	20.11840551
169	1.678362427	20.02907068
170	1.665137021	19.94090452
171	1.651277376	19.84794845
172	1.637339636	19.76384781
173	1.624169712	19.69321031
174	1.610761511	19.61394373
175	1.597468714	19.53228086
176	1.58436485	19.43930043
177	1.571683783	19.35175869
178	1.559474538	19.27782488
179	1.546870279	19.18237489
180	1.535360423	19.10987993
181	1.523424049	19.03915503
182	1.510759597	18.9508242
183	1.498319035	18.86397461
184	1.486353652	18.7909306
185	1.474824502	18.7097094
186	1.462973542	18.63735106
187	1.451566562	18.5720405
188	1.43965613	18.48428681
189	1.427986175	18.41781307
190	1.417322643	18.35503481
191	1.406047022	18.2891809
192	1.394554166	18.21147544
193	1.383363062	18.14192037
194	1.372023878	18.07378807
195	1.361632312	17.99535213
196	1.351017151	17.94472245
197	1.340319251	17.88631062
198	1.329669957	17.82960576
199	1.319369903	17.77433989
200	1.309070119	17.71334888
201	1.29873996	17.64029065
202	1.288352119	17.55989015
203	1.278071508	17.48841354
204	1.268113501	17.4331928
205	1.258335977	17.37776795
206	1.248520271	17.32081902
207	1.238813246	17.27704083
208	1.229340631	17.21863684
209	1.219459557	17.14239748
210	1.210627817	17.0869454
211	1.201678593	17.04260019
212	1.19265541	16.98639298
213	1.183512997	16.93081631
214	1.174197245	16.86383311
215	1.164899933	16.80193249
216	1.156124838	16.75737313
217	1.147289337	16.71086342
218	1.138690106	16.66445085
219	1.130095642	16.61700803
220	1.121319093	16.56278775
221	1.112947341	16.51345958
222	1.104364038	16.45306301
223	1.095851133	16.39785895
224	1.087654743	16.34566536
225	1.079020658	16.29478143
226	1.070999957	16.23541982
227	1.062810193	16.19227918
228	1.054682085	16.13325321
229	1.047023655	16.0888991
230	1.039096648	16.03099702
231	1.031006877	15.98665802
232	1.023480174	15.94540873
233	1.016005391	15.91365618
234	1.008389317	15.85029247
235	1.001019441	15.81831994
236	0.9933928304	15.7708162
237	0.9861144786	15.72751231
238	0.978756389	15.68978978
239	0.9714299704	15.63253573
240	0.9642533565	15.5775358
241	0.9573498213	15.53078289
242	0.9505027715	15.48587266
243	0.9434282736	15.45811046
244	0.9364717128	15.40012669
245	0.9297238949	15.35994489
246	0.9230391741	15.31540303
247	0.9162938141	15.27465109
248	0.9097009231	15.23013224
249	0.9030196544	15.19235785
250	0.8968590232	15.15396582
251	0.890508435	15.10802026
252	0.8840997465	15.07773167
253	0.8777569544	15.03669858
254	0.871803645	14.99708044
255	0.8656243444	14.94795959
256	0.8598363964	14.92034628
257	0.8535746086	14.88593986
258	0.8476004346	14.84721275
259	0.8416481976	14.80984073
260	0.835968895	14.77457981
261	0.8301158427	14.74495494
262	0.8240090286	14.70908362
263	0.818353445	14.68292802
264	0.8127015966	14.65873676
265	0.8070948387	14.61849658
266	0.8015400018	14.58787355
267	0.7960339825	14.55715827
268	0.7904343606	14.52553381
