iter	Passed	Remaining
0	12	12912
1	87	43837
2	172	57405
3	266	66287
4	327	65136
5	332	55041
6	407	57766
7	489	60738
8	558	61513
9	629	62290
10	691	62202
11	758	62435
12	825	62706
13	901	63458
14	978	64231
15	1057	65008
16	1132	65503
17	1198	65386
18	1269	65563
19	1359	66595
20	1438	67048
21	1508	67072
22	1575	66938
23	1647	66979
24	1721	67128
25	1790	67093
26	1859	67027
27	1924	66802
28	2000	66969
29	2073	67044
30	2143	66986
31	2211	66896
32	2283	66922
33	2358	67018
34	2436	67168
35	2506	67126
36	2581	67180
37	2656	67263
38	2733	67354
39	2803	67279
40	2882	67419
41	2967	67682
42	3050	67887
43	3120	67792
44	3197	67851
45	3280	68038
46	3357	68087
47	3429	68008
48	3503	67998
49	3584	68103
50	3657	68051
51	3740	68197
52	3813	68144
53	3888	68116
54	3961	68063
55	4024	67837
56	4094	67739
57	4153	67453
58	4229	67459
59	4307	67480
60	4379	67413
61	4444	67235
62	4513	67129
63	4580	66995
64	4646	66841
65	4717	66765
66	4804	66910
67	4877	66854
68	4953	66834
69	5033	66878
70	5046	66034
71	5124	66051
72	5197	65999
73	5266	65898
74	5339	65858
75	5414	65824
76	5479	65681
77	5551	65619
78	5629	65633
79	5704	65600
80	5773	65502
81	5849	65490
82	5933	65553
83	5952	64914
84	6029	64908
85	6091	64740
86	6179	64845
87	6349	65804
88	6418	65703
89	6487	65596
90	6556	65496
91	6626	65404
92	6710	65448
93	6782	65372
94	6858	65333
95	6941	65361
96	7019	65349
97	7091	65270
98	7163	65191
99	7254	65294
100	7326	65215
101	7392	65080
102	7465	65011
103	7528	64863
104	7590	64698
105	7657	64579
106	7733	64542
107	7804	64461
108	7878	64404
109	7960	64404
110	8033	64340
111	8099	64218
112	8169	64128
113	8257	64179
114	8330	64112
115	8399	64009
116	8474	63954
117	8543	63861
118	8613	63769
119	8687	63707
120	8758	63625
121	8837	63598
122	8927	63654
123	8990	63511
124	9063	63443
125	9129	63327
126	9199	63236
127	9269	63151
128	9345	63097
129	9419	63040
130	9494	62982
131	9560	62864
132	9632	62794
133	9652	62379
134	9728	62331
135	9807	62304
136	9884	62265
137	9953	62175
138	10027	62115
139	10113	62127
140	10198	62133
141	10258	61984
142	10326	61884
143	10400	61824
144	10475	61769
145	10546	61691
146	10630	61685
147	10698	61587
148	10769	61506
149	10838	61417
150	10916	61379
151	10986	61293
152	11056	61210
153	11129	61140
154	11202	61074
155	11279	61022
156	11355	60971
157	11436	60947
158	11511	60889
159	11590	60848
160	11658	60752
161	11733	60693
162	11803	60608
163	11878	60551
164	11960	60526
165	12025	60418
166	12097	60344
167	12187	60355
168	12255	60260
169	12339	60245
170	12415	60191
171	12496	60159
172	12568	60082
173	12648	60045
174	12723	59981
175	12795	59905
176	12863	59812
177	12933	59727
178	13011	59679
179	13098	59672
180	13164	59566
181	13239	59503
182	13322	59477
183	13389	59378
184	13458	59290
185	13539	59253
186	13606	59156
187	13644	58930
188	13717	58860
189	13781	58753
190	13860	58706
191	13929	58618
192	14001	58544
193	14076	58484
194	14151	58420
195	14223	58345
196	14234	58022
197	14309	57961
198	14381	57885
199	14456	57827
200	14530	57761
201	14605	57698
202	14682	57643
203	14754	57570
204	14832	57519
205	14913	57483
206	14990	57427
207	15055	57328
208	15118	57220
209	15198	57175
210	15278	57133
211	15292	56842
212	15364	56769
213	15436	56696
214	15509	56627
215	15584	56565
216	15657	56495
217	15737	56454
218	15806	56369
219	15888	56330
220	15954	56238
221	16027	56168
222	16095	56082
223	16174	56033
224	16251	55976
225	16325	55911
226	16400	55849
227	16493	55845
228	16570	55789
229	16633	55687
230	16708	55622
231	16773	55525
232	16843	55445
233	16917	55379
234	17004	55353
235	17069	55258
236	17138	55175
237	17209	55100
238	17287	55045
239	17363	54985
240	17435	54911
241	17517	54868
242	17575	54751
243	17609	54561
244	17706	54564
245	17780	54498
246	17843	54396
247	17915	54324
248	17984	54242
249	18055	54165
250	18122	54078
251	18198	54017
252	18277	53965
253	18349	53892
254	18435	53860
255	18508	53789
256	18599	53770
257	18667	53686
258	18736	53606
259	18808	53531
260	18881	53461
261	18975	53451
262	19040	53357
263	19103	53257
264	19169	53168
265	19192	52959
266	19274	52915
267	19350	52853
268	19428	52797
269	19516	52767
270	19583	52679
271	19657	52611
272	19716	52506
273	19786	52427
274	19856	52349
275	19930	52281
276	19999	52199
277	20078	52145
278	20150	52073
279	20225	52007
280	20296	51933
281	20373	51871
282	20448	51807
283	20524	51744
284	20603	51690
285	20672	51608
286	20744	51536
287	20812	51454
